productid,product_brand,product_name,product_category,price_inr,discount_price,percentage,currency,delivery_options,expiration_date,packaging_type,country_origin,image_url,description_1,description_2,customer_review1,customer_reviewer1,customer_review2,customer_reviewer2,customer_review3,customer_reviewer3,customer_review4,customer_reviewer4,available_size1,available_size2,available_size3,available_size4,additional_feature2,additional_feature3,additional_feature1,npk_ratio
1614,SoilSaver,Urea Fertilizer,Organic Fertilizer,842,810,4,INR,Standard Delivery,05-02-2025,Canister,India,https://th.bing.com/th/id/OIG1.JN7bmBksTPT1IqTkQWa8?pid=ImgGn,"Get exceptional growth with Urea Fertilizer, your plants' best ally.","Ensure vibrant plant life with Urea Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Sanjeev,"Highly effective for my garden, plants are thriving!",Priya,"Easy to use, results are visible within weeks.",Harini,Noticeable improvement in soil fertility.,Rohan,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Give your plants a boost with Urea Fertilizer, enhancing overall plant vitality.",16:10:05
1615,CropMax,Humic Acid Fertilizer,Chemical Fertilizer,989,900,9,INR,Free Shipping,28-01-2026,Bag,India,https://th.bing.com/th/id/OIG3.9vU4P7hoyMQSdmbTrYIB?pid=ImgGn,"Humic Acid Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Priya,"Good quality fertilizer, improved soil health significantly.",Rahul,"Impressive results, easy to apply.",Rajesh,"Good value for money, effective results.",Thanuja,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","With Humic Acid Fertilizer, enjoy healthier plants with faster root development.",15:10:04
1616,SoilSaver,Nitrogen Booster,Chemical Fertilizer,523,494,6,INR,Free Shipping,12-05-2026,Bag,India,https://th.bing.com/th/id/OIG2.w.gO9aDtg5zhIWkQOwjf?pid=ImgGn,"Nitrogen Booster boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Deepak,"Good quality fertilizer, improved soil health significantly.",Rahul,Plants look greener and healthier now.,Jagadeesh,"Easy to use, results are visible within weeks.",Venkat,250grms,500g,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Maintains effectiveness for longer periods, ensuring durability in storage.","Nitrogen Booster guarantees optimal nutrient release, keeping plants healthy for weeks.",22:08:05
1617,AgriBoost,Super Phosphate,Bio-Fertilizer,324,243,29,INR,Same Day Delivery,29-06-2026,Bottle,India,https://th.bing.com/th/id/OIG3.BOVRs9h3gI5G6k0f8uqG?pid=ImgGn,"Maximize your garden's potential with Super Phosphate, specially formulated for robust development.","Ensure vibrant plant life with Super Phosphate, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Kiran,"Good value for money, effective results.",Rajesh,"Would buy again, very satisfied.",Jagadeesh,Plants look greener and healthier now.,Anjali,250grms,500g,2kgs,5kg,Enriched with essential nutrients for faster growth.,Enhances root growth and strengthens plant immunity.,"Give your plants a boost with Super Phosphate, enhancing overall plant vitality.",18:06:04
1618,EcoFert,Micronutrient Mix,Chemical Fertilizer,595,525,13,INR,Standard Delivery,22-04-2026,Canister,India,https://th.bing.com/th/id/OIG3.pkuzKuhy3iQVzCxHYN79?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Micronutrient Mix, your plants' best ally.","Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Venkat,"Easy to use, results are visible within weeks.",Amit,"Good value for money, effective results.",Thanuja,Boosted plant growth significantly.,Shiva,250grms,750grms,1kg,5kg,"Safe for plants, pets, and children with natural, non-toxic ingredients.",Enriched with essential nutrients for faster growth.,"Formulated for Micronutrient Mix, enhancing your soil's fertility and plant resilience.",18:10:05
1619,CropMax,Granular NPK Fertilizer,Organic Fertilizer,987,928,6,INR,Free Shipping,04-07-2026,Canister,India,https://th.bing.com/th/id/OIG4.Prnw7BKtlKSAd_gkVgP1?pid=ImgGn,"Maximize your garden's potential with Granular NPK Fertilizer, specially formulated for robust development.","Ensure vibrant plant life with Granular NPK Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Ramesh,My crops have never been healthier!,Shiva,"Worked wonders for my plants, great quality.",Ramya,"Highly effective for my garden, plants are thriving!",Kiran,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Enhances soil structure, improving root growth and overall plant health.","With Granular NPK Fertilizer, enjoy healthier plants with faster root development.",18:09:03
1620,GreenGrow,Vermicompost,Organic Fertilizer,641,563,13,INR,Same Day Delivery,15-06-2025,Bottle,India,https://th.bing.com/th/id/OIG3.ydfNc8noG1UIXgUg5FTW?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Vermicompost, your plants' best ally.","Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Perfect for organic gardening, very effective.",Neha,My flowers are thriving thanks to this compost!,Rahul,My crops have never been healthier!,Rajesh,"Impressive results, easy to apply.",Vikram,250grms,750grms,2kgs,5kg,Balances soil pH for optimal plant health.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Formulated for Vermicompost, enhancing your soil's fertility and plant resilience.",20:08:04
1621,AgriBoost,Micronutrient Mix,Bio-Fertilizer,409,355,14,INR,Free Shipping,08-03-2026,Canister,India,https://th.bing.com/th/id/OIG2.Utk8SI6gexEQtapsTWC0?w=1024&h=1024&rs=1&pid=ImgDetMain,"Micronutrient Mix boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Pooja,"Better than expected, highly effective.",Anjali,"Easy to use, results are visible within weeks.",Lakshmi,"Highly effective for my garden, plants are thriving!",Rahul,250grms,750grms,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.",Enhances root growth and strengthens plant immunity.,"Micronutrient Mix guarantees optimal nutrient release, keeping plants healthy for weeks.",15:10:04
1622,CropMax,Potash Boost,Chemical Fertilizer,336,313,7,INR,Standard Delivery,01-10-2026,Bottle,India,https://th.bing.com/th/id/OIG2.ygVnxsh3BvT6pev3E_Ub?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Potash Boost, specially formulated for robust development.","Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Neha,"Good quality fertilizer, improved soil health significantly.",Rahul,"Would buy again, very satisfied.",Neha,"Highly effective for my garden, plants are thriving!",Lakshmi,250grms,750grms,2kgs,5kg,Helps balance soil pH for better nutrient uptake and plant health.,Enriched with essential nutrients for faster growth.,"With Potash Boost, enjoy healthier plants with faster root development.",15:06:04
1623,SoilSaver,Poultry Manure,Chemical Fertilizer,710,649,9,INR,Free Shipping,04-11-2027,Bag,India,https://th.bing.com/th/id/OIG1.FZTfdF1EWzofy.VqEQAr?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Poultry Manure.,"Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Perfect for my vegetable garden, saw quick growth!",Rahul,My crops have never been healthier!,Neha,"Great for crops, enhanced soil fertility visibly.",Amit,"Excellent product, highly recommended!",Rohan,250grms,500g,2kgs,5kg,"Rich in nitrogen, phosphorus, and potassium for strong plant growth.",Boosts soil microbial activity for healthier crops.,"Poultry Manure guarantees optimal nutrient release, keeping plants healthy for weeks.",16:06:04
1624,GreenGrow,Bio Phosphate,Organic Fertilizer,904,818,10,INR,Same Day Delivery,17-11-2025,Bag,India,https://th.bing.com/th/id/OIG2.IGl6QJYUTJ2YPN5SBOju?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Bio Phosphate.,"Ensure vibrant plant life with Bio Phosphate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ramesh,"Good quality fertilizer, improved soil health significantly.",Neha,"Easy to use, results are visible within weeks.",Deepak,My crops have never been healthier!,Anil,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Bio Phosphate guarantees optimal nutrient release, keeping plants healthy for weeks.",15:06:05
1625,AgriBoost,Humic Acid Fertilizer,Organic Fertilizer,505,466,8,INR,Standard Delivery,15-03-2026,Bottle,India,https://th.bing.com/th/id/OIG2.Dc7VQrLGhlnkpieGydfo?w=1024&h=1024&rs=1&pid=ImgDetMain,"Humic Acid Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Sonal,"Highly effective for my garden, plants are thriving!",Suresh,"Impressive results, easy to apply.",Rajesh,Boosted plant growth significantly.,Rajesh,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Formulated for Humic Acid Fertilizer, enhancing your soil's fertility and plant resilience.",15:06:06
1626,GreenGrow,Calcium Nitrate,Chemical Fertilizer,947,898,5,INR,Free Shipping,07-07-2025,Canister,India,https://th.bing.com/th/id/OIG1.bVnCax22fR_OWnNux0O2?w=1024&h=1024&rs=1&pid=ImgDetMain,"Calcium Nitrate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Rahul,"Impressive results, easy to apply.",Meghana,"Would buy again, very satisfied.",Rohan,"Good quality fertilizer, improved soil health significantly.",Sanjeev,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,Enriched with essential nutrients for faster growth.,"Give your plants a boost with Calcium Nitrate, enhancing overall plant vitality.",20:06:05
1627,SoilSaver,Potash Boost,Bio-Fertilizer,940,842,11,INR,Free Shipping,25-09-2026,Bag,India,https://th.bing.com/th/id/OIG3.n2aEXD1a6iZwyxrKZBt3?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Potash Boost.,"Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Ramesh,"Highly effective for my garden, plants are thriving!",Venkat,My crops have never been healthier!,Vikram,"Good value for money, effective results.",Meghana,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Improves soil aeration and water retention.,"With Potash Boost, enjoy healthier plants with faster root development.",20:07:06
1628,EcoFert,Micronutrient Mix,Bio-Fertilizer,666,570,16,INR,Free Shipping,13-02-2026,Bag,India,https://th.bing.com/th/id/OIG3.HvxXp3Pb8iXLpDcq07hI?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Micronutrient Mix.,"Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Amit,"Easy to use, results are visible within weeks.",Ananya,"Impressive results, easy to apply.",Vikram,"Good quality fertilizer, improved soil health significantly.",Deepak,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Formulated for Micronutrient Mix, enhancing your soil's fertility and plant resilience.",16:09:05
1629,CropMax,Sulphur Granules,Chemical Fertilizer,923,848,8,INR,Same Day Delivery,16-01-2026,Canister,India,https://th.bing.com/th/id/OIG3.t2a9Z.kUxckrYLfOXdC0?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Sulphur Granules.,"Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Suresh,"Highly effective for my garden, plants are thriving!",Manish,Plants look greener and healthier now.,Rajesh,"Excellent product, highly recommended!",Anjali,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,Enhances root growth and strengthens plant immunity.,"With Sulphur Granules, enjoy healthier plants with faster root development.",22:08:04
1630,CropMax,Super Phosphate,Bio-Fertilizer,697,615,13,INR,Free Shipping,07-11-2026,Bottle,India,https://th.bing.com/th/id/OIG2.jexLeucyCLCYYQPumfYC?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Super Phosphate, specially formulated for robust development.","Ensure vibrant plant life with Super Phosphate, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Priya,"Highly effective for my garden, plants are thriving!",Deepak,"Worked wonders for my plants, great quality.",Meghana,"Good quality fertilizer, improved soil health significantly.",Rahul,250grms,750grms,2kgs,5kg,Helps balance soil pH for better nutrient uptake and plant health.,"Ideal for all plant types, including flowers, vegetables, and lawns.","Formulated for Super Phosphate, enhancing your soil's fertility and plant resilience.",18:10:06
1631,EcoFert,Super Phosphate,Organic Fertilizer,760,690,10,INR,Same Day Delivery,19-09-2025,Canister,India,https://th.bing.com/th/id/OIG1.m_nKyJOQTYT5tA4UQoHM?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Super Phosphate, your plants' best ally.","Ensure vibrant plant life with Super Phosphate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Manish,"Worked wonders for my plants, great quality.",Anjali,"Good quality fertilizer, improved soil health significantly.",Amit,Boosted plant growth significantly.,Kunal,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Enhances root growth and strengthens plant immunity.,"Formulated for Super Phosphate, enhancing your soil's fertility and plant resilience.",15:06:06
1632,GreenGrow,Poultry Manure,Organic Fertilizer,742,680,9,INR,Free Shipping,08-12-2025,Bottle,India,https://th.bing.com/th/id/OIG3.QO1M3numKPlypTxAD1kO?pid=ImgGn,"Maximize your garden's potential with Poultry Manure, specially formulated for robust development.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Perfect for my vegetable garden, saw quick growth!",Amit,"Great for crops, enhanced soil fertility visibly.",Neha,"Would buy again, very satisfied.",Anil,"Boosted my farm yield, excellent organic product.",Deepak,250grms,750grms,2kgs,5kg,Boosts soil microbial activity for healthier crops.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","With Poultry Manure, enjoy healthier plants with faster root development.",20:06:03
1633,EcoFert,Neem Cake Fertilizer,Chemical Fertilizer,307,277,10,INR,Same Day Delivery,21-11-2025,Canister,India,https://th.bing.com/th/id/OIG2.rNemQz2qrRGZoHNMPmam?w=1024&h=1024&rs=1&pid=ImgDetMain,"Neem Cake Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Neem Cake Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Sanjeev,"Easy to use, results are visible within weeks.",Pooja,"Highly effective for my garden, plants are thriving!",Kiran,My crops have never been healthier!,Divya,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Improves soil aeration and water retention.,"Neem Cake Fertilizer guarantees optimal nutrient release, keeping plants healthy for weeks.",16:08:06
1634,GreenGrow,Calcium Nitrate,Chemical Fertilizer,774,713,8,INR,Free Shipping,22-12-2025,Canister,India,https://th.bing.com/th/id/OIG3.ZsIGUv8O7Ro.ET.g98T9?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Calcium Nitrate, specially formulated for robust development.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Ananya,"Excellent product, highly recommended!",Thanuja,"Highly effective for my garden, plants are thriving!",Sanjeev,"Better than expected, highly effective.",Kunal,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Calcium Nitrate guarantees optimal nutrient release, keeping plants healthy for weeks.",20:10:05
1635,GreenGrow,Calcium Nitrate,Organic Fertilizer,966,869,11,INR,Free Shipping,18-11-2026,Bag,India,https://th.bing.com/th/id/OIG3.8daznuT6QFd2x5T8P30V?pid=ImgGn,"Maximize your garden's potential with Calcium Nitrate, specially formulated for robust development.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Suresh,"Highly effective for my garden, plants are thriving!",Manish,"Impressive results, easy to apply.",Anjali,Plants look greener and healthier now.,Anil,250grms,750grms,1kg,5kg,Improves soil aeration and water retention.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","With Calcium Nitrate, enjoy healthier plants with faster root development.",16:07:04
1636,AgriBoost,Compost Plus,Chemical Fertilizer,938,840,11,INR,Standard Delivery,20-06-2026,Bag,India,https://th.bing.com/th/id/OIG4.x1_5rKeEJIXeScCvTAIl?w=1024&h=1024&rs=1&pid=ImgDetMain,"Compost Plus boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Lakshmi,"Perfect for organic gardening, very effective.",Suresh,Boosted plant growth significantly.,Thanuja,"Worked wonders for my plants, great quality.",Divya,250grms,750grms,2kgs,5kg,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Formulated for Compost Plus, enhancing your soil's fertility and plant resilience.",18:07:05
1637,EcoFert,Vermicompost,Bio-Fertilizer,720,647,11,INR,Same Day Delivery,27-12-2025,Canister,India,https://th.bing.com/th/id/OIG3.XhCWb2ddLmLzre2Q41Ym?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Vermicompost.,"Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Manish,"Impressive results, easy to apply.",Thanuja,"Worked wonders for my plants, great quality.",Meera,"Worked wonders for my plants, great quality.",Rajesh,250grms,750grms,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.","Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Give your plants a boost with Vermicompost, enhancing overall plant vitality.",15:10:06
1638,SoilSaver,Sulphur Granules,Organic Fertilizer,580,519,11,INR,Standard Delivery,15-03-2026,Bottle,India,https://th.bing.com/th/id/OIG3.4OxIYX46qoXKtIUVmB_r?pid=ImgGn,"Get exceptional growth with Sulphur Granules, your plants' best ally.","Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Sanjeev,"Easy to use, results are visible within weeks.",Neha,Plants look greener and healthier now.,Meghana,"Good quality fertilizer, improved soil health significantly.",Lakshmi,250grms,750grms,2kgs,5kg,"Enhances soil structure, improving root growth and overall plant health.",Improves soil aeration and water retention.,"Give your plants a boost with Sulphur Granules, enhancing overall plant vitality.",18:09:04
1639,AgriBoost,Sulphur Granules,Bio-Fertilizer,377,282,29,INR,Standard Delivery,22-03-2026,Bottle,India,https://th.bing.com/th/id/OIG1.05m9.Qm8wEbfiy2dCEr5?w=1024&h=1024&rs=1&pid=ImgDetMain,Give your plants the nourishment they deserve with Sulphur Granules.,"Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Amit,"Highly effective for my garden, plants are thriving!",Neha,My crops have never been healthier!,Rajesh,"Worked wonders for my plants, great quality.",Anil,250grms,500g,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","With Sulphur Granules, enjoy healthier plants with faster root development.",18:07:06
1640,GreenGrow,Super Phosphate,Chemical Fertilizer,572,495,14,INR,Same Day Delivery,02-11-2026,Bag,India,https://th.bing.com/th/id/OIG1.LNp6M2JIepAZoUGp0RmP?w=1024&h=1024&rs=1&pid=ImgDetMain,"Super Phosphate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Super Phosphate, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Ananya,"Impressive results, easy to apply.",Vikram,"Would buy again, very satisfied.",Neha,"Highly effective for my garden, plants are thriving!",Priya,250grms,500g,1kg,5kg,"Safe for plants, pets, and children with natural, non-toxic ingredients.",Improves soil aeration and water retention.,"With Super Phosphate, enjoy healthier plants with faster root development.",22:09:03
1641,AgriBoost,Poultry Manure,Organic Fertilizer,936,900,4,INR,Free Shipping,23-08-2025,Canister,India,https://th.bing.com/th/id/OIG2.a.qn146DsixZK1pvDMPF?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Poultry Manure, your plants' best ally.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Great for crops, enhanced soil fertility visibly.",Amit,"Perfect for my vegetable garden, saw quick growth!",Sanjeev,Plants look greener and healthier now.,Rohan,"Excellent product, highly recommended!",Kunal,250grms,750grms,2kgs,5kg,Boosts soil microbial activity for healthier crops.,Improves soil structure and water retention.,"With Poultry Manure, enjoy healthier plants with faster root development.",18:08:03
1642,GreenGrow,Liquid Plant Tonic,Organic Fertilizer,993,929,7,INR,Standard Delivery,21-10-2026,Bag,India,https://th.bing.com/th/id/OIG1.Crd9.dolBjvwTcOCzaqL?w=1024&h=1024&rs=1&pid=ImgDetMain,"Maximize your garden's potential with Liquid Plant Tonic, specially formulated for robust development.","Ensure vibrant plant life with Liquid Plant Tonic, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Deepak,"Good value for money, effective results.",Anil,"Good quality fertilizer, improved soil health significantly.",Priya,"Good value for money, effective results.",Ramya,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Improves soil moisture retention, reducing the need for frequent watering.","Give your plants a boost with Liquid Plant Tonic, enhancing overall plant vitality.",16:09:04
1643,CropMax,Nitrogen Booster,Chemical Fertilizer,598,554,8,INR,Free Shipping,30-05-2026,Bag,India,https://th.bing.com/th/id/OIG3.Z8zkQWvsCtKfE5laybX.?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Nitrogen Booster, your plants' best ally.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Neha,"Highly effective for my garden, plants are thriving!",Ramesh,"Good value for money, effective results.",Anjali,Boosted plant growth significantly.,Rajesh,250grms,500g,1kg,5kg,Improves soil aeration and water retention.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Nitrogen Booster guarantees optimal nutrient release, keeping plants healthy for weeks.",15:10:03
1644,GreenGrow,Poultry Manure,Chemical Fertilizer,916,888,3,INR,Standard Delivery,13-02-2025,Bottle,India,https://th.bing.com/th/id/OIG1.mLC7In_lKqiUgDBS8LYN?w=1024&h=1024&rs=1&pid=ImgDetMain,"Poultry Manure boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Great for crops, enhanced soil fertility visibly.",Amit,Boosted plant growth significantly.,Aditi,"Perfect for my vegetable garden, saw quick growth!",Lakshmi,"Impressive results, easy to apply.",Anil,250grms,750grms,2kgs,5kg,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Rich in nitrogen, phosphorus, and potassium for strong plant growth.","Formulated for Poultry Manure, enhancing your soil's fertility and plant resilience.",20:07:06
1645,CropMax,Vermicompost,Bio-Fertilizer,741,696,6,INR,Free Shipping,13-08-2025,Bottle,India,https://th.bing.com/th/id/OIG2.gnDDSGjjKFxjPpQKv_K_?w=1024&h=1024&rs=1&pid=ImgDetMain,"Vermicompost boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Neha,Plants look greener and healthier now.,Divya,My flowers are thriving thanks to this compost!,Pooja,My crops have never been healthier!,Anjali,250grms,750grms,2kgs,5kg,Supports sustainable farming with organic matter.,Balances soil pH for optimal plant health.,"With Vermicompost, enjoy healthier plants with faster root development.",22:07:04
1646,GreenGrow,Sulphur Granules,Chemical Fertilizer,432,374,14,INR,Standard Delivery,13-02-2026,Canister,India,https://th.bing.com/th/id/OIG4.u_r68naoPMHv6n0.U1.D?w=1024&h=1024&rs=1&pid=ImgDetMain,"Sulphur Granules boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Kiran,"Impressive results, easy to apply.",Kunal,"Good quality fertilizer, improved soil health significantly.",Lakshmi,My crops have never been healthier!,Divya,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Formulated for Sulphur Granules, enhancing your soil's fertility and plant resilience.",18:08:06
1647,SoilSaver,Humic Acid Fertilizer,Chemical Fertilizer,337,273,21,INR,Free Shipping,,Bag,India,https://th.bing.com/th/id/OIG4.IxLoQn.sIax8aW4r4puf?w=1024&h=1024&rs=1&pid=ImgDetMain,"Get exceptional growth with Humic Acid Fertilizer, your plants' best ally.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Lakshmi,"Worked wonders for my plants, great quality.",Anjali,"Easy to use, results are visible within weeks.",Deepak,"Highly effective for my garden, plants are thriving!",Kiran,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Humic Acid Fertilizer guarantees optimal nutrient release, keeping plants healthy for weeks.",22:07:06
1648,GreenGrow,Soil Conditioner,Organic Fertilizer,702,665,5,INR,Standard Delivery,18-10-2025,Bottle,India,https://th.bing.com/th/id/OIG1.v_2yuEbvtI2TvdM6OwW.?w=1024&h=1024&rs=1&pid=ImgDetMain,"Soil Conditioner boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Soil Conditioner, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Pooja,"Highly effective for my garden, plants are thriving!",Lakshmi,Noticeable improvement in soil fertility.,Aditi,"Good value for money, effective results.",Anjali,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Give your plants a boost with Soil Conditioner, enhancing overall plant vitality.",15:09:06
1649,GreenGrow,Urea Fertilizer,Organic Fertilizer,310,270,14,INR,Standard Delivery,23-04-2026,Canister,India,https://th.bing.com/th/id/OIG4.eUV2TTaJ7qwWBlo8ccP8?pid=ImgGn,"Maximize your garden's potential with Urea Fertilizer, specially formulated for robust development.","Ensure vibrant plant life with Urea Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Harini,"Worked wonders for my plants, great quality.",Anjali,"Impressive results, easy to apply.",Aditi,"Easy to use, results are visible within weeks.",Pooja,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,Enriched with essential nutrients for faster growth.,"Formulated for Urea Fertilizer, enhancing your soil's fertility and plant resilience.",16:06:03
